"name","district","state","address","phone"
"Police Station","Balod","Chhattisgarh","Balod, Chhattisgarh","Not available"
"Police Station","Baloda Bazar","Chhattisgarh","Baloda Bazar, Chhattisgarh","Not available"
"Police Station","Balrampur","Chhattisgarh","Balrampur, Chhattisgarh","Not available"
"Police Station","Bemetara","Chhattisgarh","Bemetara, Chhattisgarh","Not available"
"Police Station","Gariyaband","Chhattisgarh","Gariyaband, Chhattisgarh","Not available"
"Police Station","Janjgir-Champa","Chhattisgarh","Janjgir-Champa, Chhattisgarh","Not available"
"Police Station","Jashpur","Chhattisgarh","Jashpur, Chhattisgarh","Not available"
"Police Station","Kondagaon","Chhattisgarh","Kondagaon, Chhattisgarh","Not available"
"Police Station","Koriya","Chhattisgarh","Koriya, Chhattisgarh","Not available"
"Police Station","Mahasamund","Chhattisgarh","Mahasamund, Chhattisgarh","Not available"
"Police Station","Mungeli","Chhattisgarh","Mungeli, Chhattisgarh","Not available"
"Police Station","Narayanpur","Chhattisgarh","Narayanpur, Chhattisgarh","Not available"
"Police Station","Sarguja","Chhattisgarh","Sarguja, Chhattisgarh","Not available"
"Police Station","Sukma","Chhattisgarh","Sukma, Chhattisgarh","Not available"
"Police Station","Surajpur","Chhattisgarh","Surajpur, Chhattisgarh","Not available"
"Police Station","North Goa","Goa","North Goa, Goa","Not available"
"Police Station","South Goa","Goa","South Goa, Goa","Not available"
"Ellisbridge Police Station","Ahmedabad","Gujarat","Ahmedabad, Gujarat","Not available"
"Police Station","Surat","Gujarat","Surat, Gujarat","Not available"
"Police Station","Vadodara","Gujarat","Vadodara, Gujarat","Not available"
"Police Station","Rajkot","Gujarat","Rajkot, Gujarat","Not available"
"Police Station","Bhavnagar","Gujarat","Bhavnagar, Gujarat","Not available"
"City B Division Police Station","Jamnagar","Gujarat","Jamnagar, Gujarat","Not available"
"Police Station","Junagadh","Gujarat","Junagadh, Gujarat","Not available"
"Police Station","Gandhinagar","Gujarat","Gandhinagar, Gujarat","Not available"
"Police Station","Anand","Gujarat","Anand, Gujarat","Not available"
"Police Station","Bharuch","Gujarat","Bharuch, Gujarat","Not available"
"Police Station","Dahod","Gujarat","Dahod, Gujarat","Not available"
"Police Station","Himatnagar","Gujarat","Himatnagar, Gujarat","Not available"
"Police Station","Kheda","Gujarat","Kheda, Gujarat","Not available"
"Police Station","Mehsana","Gujarat","Mehsana, Gujarat","Not available"
"Police Station","Narmada","Gujarat","Narmada, Gujarat","Not available"
"Town Police","Navsari","Gujarat","Navsari, Gujarat","Not available"
"Police Station","Palanpur","Gujarat","Palanpur, Gujarat","Not available"
"Police Station","Panchmahal","Gujarat","Panchmahal, Gujarat","Not available"
"Police Station","Patan","Gujarat","Patan, Gujarat","Not available"
"Police Station","Porbandar","Gujarat","Porbandar, Gujarat","Not available"
"Police Station","Surendranagar","Gujarat","Surendranagar, Gujarat","Not available"
"Police Station","Tapi","Gujarat","Tapi, Gujarat","Not available"
"Police Station","Valsad","Gujarat","Valsad, Gujarat","Not available"
"Police Station","Kutch","Gujarat","Kutch, Gujarat","Not available"
"Police Station","Ambala","Haryana","Ambala, Haryana","Not available"
"Police Station","Bhiwani","Haryana","Bhiwani, Haryana","Not available"
"Police Station","Faridabad","Haryana","Faridabad, Haryana","Not available"
"Bhajgera Police Station","Gurugram","Haryana","Gurugram, Haryana","Not available"
"Police Station","Hisar","Haryana","Hisar, Haryana","Not available"
"Police Station","Jhajjar","Haryana","Jhajjar, Haryana","Not available"
"Police Station","Jind","Haryana","Jind, Haryana","Not available"
"Police Station","Kaithal","Haryana","Kaithal, Haryana","Not available"
"Traffic Police Karnal","Karnal","Haryana","Karnal, Haryana","Not available"
"Police Station","Kurukshetra","Haryana","Kurukshetra, Haryana","Not available"
"Police Station","Mahendragarh","Haryana","Mahendragarh, Haryana","Not available"
"Police Station","Mewat","Haryana","Mewat, Haryana","Not available"
"Police Station","Palwal","Haryana","Palwal, Haryana","Not available"
"Police Station Sector 14","Panchkula","Haryana","Panchkula, Haryana","Not available"
"Police Station","Panipat","Haryana","Panipat, Haryana","Not available"
"Police Station","Rewari","Haryana","Rewari, Haryana","Not available"
"Women Police Station Rohtak","Rohtak","Haryana","Rohtak, Haryana","Not available"
"Police Station","Sirsa","Haryana","Sirsa, Haryana","Not available"
"Commissioner's Office, Sonipat","Sonipat","Haryana","Sonipat, Haryana","Not available"
"Police Station","Yamunanagar","Haryana","Yamunanagar, Haryana","Not available"
"Police Station","Shimla","Himachal Pradesh","Shimla, Himachal Pradesh","Not available"
"Police Station","Mandi","Himachal Pradesh","Mandi, Himachal Pradesh","Not available"
"Police Station","Kullu","Himachal Pradesh","Kullu, Himachal Pradesh","Not available"
"Police Station","Solan","Himachal Pradesh","Solan, Himachal Pradesh","Not available"
"Police Station","Kangra","Himachal Pradesh","Kangra, Himachal Pradesh","Not available"
"Police Station","Una","Himachal Pradesh","Una, Himachal Pradesh","Not available"
"Police Station","Chamba","Himachal Pradesh","Chamba, Himachal Pradesh","Not available"
"Police Station","Bilaspur","Himachal Pradesh","Bilaspur, Himachal Pradesh","Not available"
"Police Station","Sirmaur","Himachal Pradesh","Sirmaur, Himachal Pradesh","Not available"
"Police Station","Hamirpur","Himachal Pradesh","Hamirpur, Himachal Pradesh","Not available"
"Police Station","Lahaul-Spiti","Himachal Pradesh","Lahaul-Spiti, Himachal Pradesh","Not available"
"Police Station","Kinnaur","Himachal Pradesh","Kinnaur, Himachal Pradesh","Not available"
"Police Station","Ranchi","Jharkhand","Ranchi, Jharkhand","Not available"
"Police Station","Dhanbad","Jharkhand","Dhanbad, Jharkhand","Not available"
"Jugsalai Police Station","Jamshedpur","Jharkhand","Jamshedpur, Jharkhand","Not available"
"Police Station","Bokaro","Jharkhand","Bokaro, Jharkhand","Not available"
"Police Station","Deoghar","Jharkhand","Deoghar, Jharkhand","Not available"
"Police Station","Dumka","Jharkhand","Dumka, Jharkhand","Not available"
"Police Station","Giridih","Jharkhand","Giridih, Jharkhand","Not available"
"Police Station","Hazaribagh","Jharkhand","Hazaribagh, Jharkhand","Not available"
"Police Station","Jamtara","Jharkhand","Jamtara, Jharkhand","Not available"
"Police Station","Chatra","Jharkhand","Chatra, Jharkhand","Not available"
"Police Station","Godda","Jharkhand","Godda, Jharkhand","Not available"
"Police Station","Gumla","Jharkhand","Gumla, Jharkhand","Not available"
"Police Station","Khunti","Jharkhand","Khunti, Jharkhand","Not available"
"Police Station","Kodarma","Jharkhand","Kodarma, Jharkhand","Not available"
"Police Station","Latehar","Jharkhand","Latehar, Jharkhand","Not available"
"Police Station","Lohardagga","Jharkhand","Lohardagga, Jharkhand","Not available"
"Police Station","Pakur","Jharkhand","Pakur, Jharkhand","Not available"
"Police Station","Palamu","Jharkhand","Palamu, Jharkhand","Not available"
"Police Station","Ramgarh","Jharkhand","Ramgarh, Jharkhand","Not available"
"Police Station","Saraikela","Jharkhand","Saraikela, Jharkhand","Not available"
"Police Station","Simdega","Jharkhand","Simdega, Jharkhand","Not available"
"Police Station","Bengaluru Urban","Karnataka","Bengaluru Urban, Karnataka","Not available"
"Police Station","Bengaluru Rural","Karnataka","Bengaluru Rural, Karnataka","Not available"
"Laxmipuram Police Station","Mysuru","Karnataka","Mysuru, Karnataka","Not available"
"Police Station","Mangaluru","Karnataka","Mangaluru, Karnataka","Not available"
"Police Station","Dharwad","Karnataka","Dharwad, Karnataka","Not available"
"Police Station","Belagavi","Karnataka","Belagavi, Karnataka","Not available"
"Police Station","Hubballi-Dharwad","Karnataka","Hubballi-Dharwad, Karnataka","Not available"
"Roza Police Station","Kalaburagi","Karnataka","Kalaburagi, Karnataka","8472263820"
"Nehru Colony Outpost","Ballari","Karnataka","Ballari, Karnataka","Not available"
"Police Station","Davangere","Karnataka","Davangere, Karnataka","Not available"
"Police Station","Chikkamagaluru","Karnataka","Chikkamagaluru, Karnataka","Not available"
"Police Station","Chitradurga","Karnataka","Chitradurga, Karnataka","Not available"
"Police Station","Dakshina Kannada","Karnataka","Dakshina Kannada, Karnataka","Not available"
"Extension Police Station","Hassan","Karnataka","Hassan, Karnataka","Not available"
"Police Station","Haveri","Karnataka","Haveri, Karnataka","Not available"
"Police Station","Kolar","Karnataka","Kolar, Karnataka","Not available"
"Police Station Mandya West","Mandya","Karnataka","Mandya, Karnataka","9844771982"
"Police Station","Ramanagara","Karnataka","Ramanagara, Karnataka","Not available"
"Police Station","Shimoga","Karnataka","Shimoga, Karnataka","Not available"
"Police Station","Tumkur","Karnataka","Tumkur, Karnataka","Not available"
"Police Station","Udupi","Karnataka","Udupi, Karnataka","Not available"
"Police Station","Yadgir","Karnataka","Yadgir, Karnataka","Not available"
"Police Station","Koppal","Karnataka","Koppal, Karnataka","Not available"
"Police Station","Kodagu","Karnataka","Kodagu, Karnataka","Not available"
"Police Station","Bagalkot","Karnataka","Bagalkot, Karnataka","Not available"
"Police Station","Chamarajanagar","Karnataka","Chamarajanagar, Karnataka","Not available"
"Police Station","Bidar","Karnataka","Bidar, Karnataka","Not available"
"Police Station","Chikkaballapura","Karnataka","Chikkaballapura, Karnataka","Not available"
"Janamaithri Police Station, Palode","Thiruvananthapuram","Kerala","Thiruvananthapuram, Kerala","Not available"
"Police Station,Kunnicode","Kollam","Kerala","Kollam, Kerala","Not available"
"Police Station","Alappuzha","Kerala","Alappuzha, Kerala","Not available"
"Police Station, Manarcad","Kottayam","Kerala","Kottayam, Kerala","+914812370288"
"Police Station, Kottappady","Ernakulam","Kerala","Ernakulam, Kerala","Not available"
"District Police Chief,Thrissur Rural","Thrissur","Kerala","Thrissur, Kerala","Not available"
"Police Station","Palakkad","Kerala","Palakkad, Kerala","Not available"
"Police Station","Malappuram","Kerala","Malappuram, Kerala","Not available"
"Police Station","Kozhikode","Kerala","Kozhikode, Kerala","Not available"
"Police Station, Chakkarakkal","Kannur","Kerala","Kannur, Kerala","Not available"
"Police Station","Idukki","Kerala","Idukki, Kerala","Not available"
"Police Station PTA","Pathanamthitta","Kerala","Pathanamthitta, Kerala","Not available"
"RTO Office Mananthavady","Wayanad","Kerala","Wayanad, Kerala","+91-4935-227972"
"Police Station","Kasargod","Kerala","Kasargod, Kerala","Not available"
"Police Wireless Headquarters","Bhopal","Madhya Pradesh","Bhopal, Madhya Pradesh","Not available"
"chhatri bagh police station","Indore","Madhya Pradesh","Indore, Madhya Pradesh","Not available"
"Lardganj Police Station","Jabalpur","Madhya Pradesh","Jabalpur, Madhya Pradesh","Not available"
"Police Station","Gwalior","Madhya Pradesh","Gwalior, Madhya Pradesh","Not available"
"Police Station","Ujjain","Madhya Pradesh","Ujjain, Madhya Pradesh","Not available"
"Police Station","Dewas","Madhya Pradesh","Dewas, Madhya Pradesh","Not available"
"Police Station","Satna","Madhya Pradesh","Satna, Madhya Pradesh","Not available"
"P.T.S. Police Training School","Rewa","Madhya Pradesh","Rewa, Madhya Pradesh","Not available"
"Police Control Room Edit","Sagar","Madhya Pradesh","Sagar, Madhya Pradesh","Not available"
"Police Station","Shahdol","Madhya Pradesh","Shahdol, Madhya Pradesh","Not available"
"Police Station","Agar Malwa","Madhya Pradesh","Agar Malwa, Madhya Pradesh","Not available"
"Police Station","Alirajpur","Madhya Pradesh","Alirajpur, Madhya Pradesh","Not available"
"Police Station","Anuppur","Madhya Pradesh","Anuppur, Madhya Pradesh","Not available"
"Police Station","Ashoknagar","Madhya Pradesh","Ashoknagar, Madhya Pradesh","Not available"
"Police Station","Balaghat","Madhya Pradesh","Balaghat, Madhya Pradesh","Not available"
"Police Station","Barwani","Madhya Pradesh","Barwani, Madhya Pradesh","Not available"
"Police Station","Betul","Madhya Pradesh","Betul, Madhya Pradesh","Not available"
"Police Station","Bhind","Madhya Pradesh","Bhind, Madhya Pradesh","Not available"
"Police Station","Burhanpur","Madhya Pradesh","Burhanpur, Madhya Pradesh","Not available"
"Police Station","Chhatarpur","Madhya Pradesh","Chhatarpur, Madhya Pradesh","Not available"
"Police Station","Chhindwara","Madhya Pradesh","Chhindwara, Madhya Pradesh","Not available"
"Police Station","Damoh","Madhya Pradesh","Damoh, Madhya Pradesh","Not available"
"Police Station","Datia","Madhya Pradesh","Datia, Madhya Pradesh","Not available"
"Police Station","Dhar","Madhya Pradesh","Dhar, Madhya Pradesh","Not available"
"Police Station","Dindori","Madhya Pradesh","Dindori, Madhya Pradesh","Not available"
"Police Station","Guna","Madhya Pradesh","Guna, Madhya Pradesh","Not available"
"Police Station","Harda","Madhya Pradesh","Harda, Madhya Pradesh","Not available"
"Police Station","Hoshangabad","Madhya Pradesh","Hoshangabad, Madhya Pradesh","Not available"
"Police Station","Jhabua","Madhya Pradesh","Jhabua, Madhya Pradesh","Not available"
"Police Station","Katni","Madhya Pradesh","Katni, Madhya Pradesh","Not available"
"Police Station","Khandwa","Madhya Pradesh","Khandwa, Madhya Pradesh","Not available"
"Police Station","Khargone","Madhya Pradesh","Khargone, Madhya Pradesh","Not available"
"Police Station","Mandla","Madhya Pradesh","Mandla, Madhya Pradesh","Not available"
"Police Station","Mandsaur","Madhya Pradesh","Mandsaur, Madhya Pradesh","Not available"
"Police Station","Morena","Madhya Pradesh","Morena, Madhya Pradesh","Not available"
"Police Station","Narsinghpur","Madhya Pradesh","Narsinghpur, Madhya Pradesh","Not available"
"Police Station","Neemuch","Madhya Pradesh","Neemuch, Madhya Pradesh","Not available"
"Police Station","Panna","Madhya Pradesh","Panna, Madhya Pradesh","Not available"
"Police Station","Raisen","Madhya Pradesh","Raisen, Madhya Pradesh","Not available"
"Police Station","Rajgarh","Madhya Pradesh","Rajgarh, Madhya Pradesh","Not available"
"Police Station","Ratlam","Madhya Pradesh","Ratlam, Madhya Pradesh","Not available"
"Police Station","Shajapur","Madhya Pradesh","Shajapur, Madhya Pradesh","Not available"
"Police Station","Sheopur","Madhya Pradesh","Sheopur, Madhya Pradesh","Not available"
"Police Station","Sidhi","Madhya Pradesh","Sidhi, Madhya Pradesh","Not available"
"Police Station","Singrauli","Madhya Pradesh","Singrauli, Madhya Pradesh","Not available"
"Police Station","Tikamgarh","Madhya Pradesh","Tikamgarh, Madhya Pradesh","Not available"
"Police Station","Umaria","Madhya Pradesh","Umaria, Madhya Pradesh","Not available"
"Police Station","Vidisha","Madhya Pradesh","Vidisha, Madhya Pradesh","Not available"
"Police Station","Mumbai City","Maharashtra","Mumbai City, Maharashtra","Not available"
"Police Station","Mumbai Suburban","Maharashtra","Mumbai Suburban, Maharashtra","Not available"
"Laxminagar Police chowky","Pune","Maharashtra","Pune, Maharashtra","Not available"
"Sakkardara Police Station","Nagpur","Maharashtra","Nagpur, Maharashtra","Not available"
"WAGLE POLICE STATION","Thane","Maharashtra","Thane, Maharashtra","Not available"
"Police Station","Nashik","Maharashtra","Nashik, Maharashtra","Not available"
"Police Station","Aurangabad","Maharashtra","Aurangabad, Maharashtra","Not available"
"Police Station","Kolhapur","Maharashtra","Kolhapur, Maharashtra","Not available"
"Police Station","Solapur","Maharashtra","Solapur, Maharashtra","Not available"
"Police Station","Amravati","Maharashtra","Amravati, Maharashtra","Not available"
"Police Station","Latur","Maharashtra","Latur, Maharashtra","Not available"
"Police Station","Ahmednagar","Maharashtra","Ahmednagar, Maharashtra","Not available"
"Police Station","Akola","Maharashtra","Akola, Maharashtra","Not available"
"Police Station","Bhandara","Maharashtra","Bhandara, Maharashtra","Not available"
"Police Station","Buldhana","Maharashtra","Buldhana, Maharashtra","Not available"
"Police Station","Chandrapur","Maharashtra","Chandrapur, Maharashtra","Not available"
"Police Station","Dhule","Maharashtra","Dhule, Maharashtra","Not available"
"Police Station","Gadchiroli","Maharashtra","Gadchiroli, Maharashtra","Not available"
"Police Station","Gondia","Maharashtra","Gondia, Maharashtra","Not available"
"Police Station","Hingoli","Maharashtra","Hingoli, Maharashtra","Not available"
"Police Station","Jalgaon","Maharashtra","Jalgaon, Maharashtra","Not available"
"Police Station","Jalna","Maharashtra","Jalna, Maharashtra","Not available"
"Police Station","Nanded","Maharashtra","Nanded, Maharashtra","Not available"
"Police Station","Nandurbar","Maharashtra","Nandurbar, Maharashtra","Not available"
"Police Station","Parbhani","Maharashtra","Parbhani, Maharashtra","Not available"
"Police Station","Ratnagiri","Maharashtra","Ratnagiri, Maharashtra","Not available"
"Police Station","Sangli","Maharashtra","Sangli, Maharashtra","Not available"
"Police Station","Satara","Maharashtra","Satara, Maharashtra","Not available"
"Police Station","Sindhudurg","Maharashtra","Sindhudurg, Maharashtra","Not available"
"Police Station","Wardha","Maharashtra","Wardha, Maharashtra","Not available"
"Police Station","Washim","Maharashtra","Washim, Maharashtra","Not available"
"Police Station","Yavatmal","Maharashtra","Yavatmal, Maharashtra","Not available"
"Police Station","Imphal East","Manipur","Imphal East, Manipur","Not available"
"Police Station","Imphal West","Manipur","Imphal West, Manipur","Not available"
"Police Station","Bishnupur","Manipur","Bishnupur, Manipur","Not available"
"Police Station","Thoubal","Manipur","Thoubal, Manipur","Not available"
"Police Station","Kakching","Manipur","Kakching, Manipur","Not available"
"Police Station","Churachandpur","Manipur","Churachandpur, Manipur","Not available"
"Police Station","Chandel","Manipur","Chandel, Manipur","Not available"
"Police Station","Senapati","Manipur","Senapati, Manipur","Not available"
"Police Station","Tamenglong","Manipur","Tamenglong, Manipur","Not available"
"Police Station","Ukhrul","Manipur","Ukhrul, Manipur","Not available"
"Police Station","East Khasi Hills","Meghalaya","East Khasi Hills, Meghalaya","Not available"
"Police Station","West Khasi Hills","Meghalaya","West Khasi Hills, Meghalaya","Not available"
"Police Station","Ribhoi","Meghalaya","Ribhoi, Meghalaya","Not available"
"Police Station","Jaintia Hills","Meghalaya","Jaintia Hills, Meghalaya","Not available"
"Police Station","West Jaintia Hills","Meghalaya","West Jaintia Hills, Meghalaya","Not available"
"Police Station","South Garo Hills","Meghalaya","South Garo Hills, Meghalaya","Not available"
"Police Station","East Garo Hills","Meghalaya","East Garo Hills, Meghalaya","Not available"
"Police Station","North Garo Hills","Meghalaya","North Garo Hills, Meghalaya","Not available"
"Police Station","South West Khasi Hills","Meghalaya","South West Khasi Hills, Meghalaya","Not available"
"Police Station","Aizawl","Mizoram","Aizawl, Mizoram","Not available"
"Police Station","Lunglei","Mizoram","Lunglei, Mizoram","Not available"
"Office of the Superintendent of Police, Lawngtlai","Lawngtlai","Mizoram","Lawngtlai, Mizoram","Not available"
"Police Station","Champhai","Mizoram","Champhai, Mizoram","Not available"
"Police Station","Mamit","Mizoram","Mamit, Mizoram","Not available"
"Police Station","Serchhip","Mizoram","Serchhip, Mizoram","Not available"
"Police Station","Kolasib","Mizoram","Kolasib, Mizoram","Not available"
"Police Station","Saitual","Mizoram","Saitual, Mizoram","Not available"
"Police Station","Hnahthial","Mizoram","Hnahthial, Mizoram","Not available"
"Police Station","Khawzawl","Mizoram","Khawzawl, Mizoram","Not available"
"North Police Station","Kohima","Nagaland","Kohima, Nagaland","Not available"
"Police Station","Dimapur","Nagaland","Dimapur, Nagaland","Not available"
"Nagaland Police","Mokokchung","Nagaland","Mokokchung, Nagaland","Not available"
"Police Station","Wokha","Nagaland","Wokha, Nagaland","Not available"
"Police Station","Tuensang","Nagaland","Tuensang, Nagaland","Not available"
"Police Station","Mon","Nagaland","Mon, Nagaland","Not available"
"Police Station","Peren","Nagaland","Peren, Nagaland","Not available"
"Police Station","Phek","Nagaland","Phek, Nagaland","Not available"
"Police Station","Zunheboto","Nagaland","Zunheboto, Nagaland","Not available"
